record,observer_id,date,time,time_meal,enclosure_access,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,,,,
721,916,06/10/2016,10:25:15,before,both_enclosures,center,TR,TR,,124.896,1,inactive,cbc,inactive,,,,,
723,916,06/10/2016,10:27:19,before,both_enclosures,center,TR,TR,TR,4.912,1,sdb_scratching,cbc,self_directed,,,,,
725,916,06/10/2016,10:27:24,before,both_enclosures,center,TR,TR,,69.911,1,inactive,cbc,inactive,,,,,
731,1231,06/10/2016,13:59:49,none,satellite_only,satellite,CL,CL,,5.347,1,feed,satellite,forage,,,,,
733,1231,06/10/2016,13:59:54,none,satellite_only,satellite,CL,CL,HUMAN,4.166,1,human_interaction,satellite,caregiver,,,,,
735,1231,06/10/2016,13:59:58,none,satellite_only,satellite,CL,CL,,79.427,1,feed,satellite,forage,,,,,
737,1231,06/10/2016,14:01:18,none,satellite_only,satellite,CL,CL,CL,5.66,1,sdb_scratching,satellite,self_directed,,,,,
739,1231,06/10/2016,14:01:23,none,satellite_only,satellite,CL,CL,,28.773,1,feed,satellite,forage,,,,,
741,1231,06/10/2016,14:01:52,none,satellite_only,satellite,CL,CL,HUMAN,3.392,1,human_interaction,satellite,caregiver,,,,,
743,1231,06/10/2016,14:01:55,none,satellite_only,satellite,CL,CL,,170.153,1,feed,satellite,forage,,,,,
745,1231,06/10/2016,14:04:46,none,satellite_only,satellite,CL,CL,CL,13.129,1,sdb_groom,satellite,self_directed,,,,,
747,1231,06/10/2016,14:04:59,none,satellite_only,satellite,CL,CL,,54.367,1,feed,satellite,forage,,,,,
749,1231,06/10/2016,14:05:53,none,satellite_only,satellite,CL,CL,,7.079,1,inactive,satellite,inactive,,,,,
751,1231,06/10/2016,14:06:00,none,satellite_only,satellite,CL,CL,,111.102,1,feed,satellite,forage,,,,,
753,1231,06/10/2016,14:07:51,none,satellite_only,satellite,CL,CL,,25.534,1,inactive,satellite,inactive,,,,,
755,1231,06/10/2016,14:08:17,none,satellite_only,satellite,CL,CL,,90.413,1,feed,satellite,forage,,,,,
757,1231,06/10/2016,14:09:47,none,satellite_only,satellite,CL,CL,,3.497,1,inactive,satellite,inactive,,,,,
759,1231,06/10/2016,14:09:51,none,satellite_only,satellite,CL,CL,,30.823,1,feed,satellite,forage,,,,,
761,1231,06/10/2016,14:10:21,none,satellite_only,satellite,CL,CL,,86.091,1,inactive,satellite,inactive,,,,,
763,1231,06/10/2016,14:11:48,before,satellite_only,satellite,CL,CL,HUMAN,4.035,1,human_interaction,satellite,caregiver,,,,,
